City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,East London,ZA,2022-08-31 17:52:00,-33.0153,27.9116,56.34,71,0,6.91
89,Brae,GB,2022-08-31 17:53:00,60.3964,-1.353,54.84,74,88,4.92
90,Mahebourg,MU,2022-08-31 17:53:00,-20.4081,57.7,67.24,82,20,5.75
91,Klaksvik,FO,2022-08-31 17:53:01,62.2266,-6.589,52.72,84,8,17.87
92,Baykit,RU,2022-08-31 17:53:01,61.67,96.37,40.21,93,83,8.93
93,Tiksi,RU,2022-08-31 17:53:01,71.6872,128.8694,40.82,96,100,4.99
94,Grand Gaube,MU,2022-08-31 17:53:01,-20.0064,57.6608,67.37,77,4,7.31
95,Innisfail,AU,2022-08-31 17:53:02,-17.5333,146.0333,69.1,93,46,5.93
96,Finschhafen,PG,2022-08-31 17:53:02,-6.6024,147.8681,78.93,78,65,7.38
97,Suffolk,US,2022-08-31 17:50:04,40.8668,-72.7996,85.86,53,0,14.97
98,Santa Fe,AR,2022-08-31 17:50:10,-31.6333,-60.7,82.02,36,3,11.01
99,Cabo San Lucas,MX,2022-08-31 17:53:03,22.8909,-109.9124,93.61,71,96,6.38
100,Ambilobe,MG,2022-08-31 17:53:03,-13.2,49.05,71.58,80,90,2.06
101,Vianopolis,BR,2022-08-31 17:53:04,-16.7419,-48.5164,81.43,28,45,8.37
102,Bilma,NE,2022-08-31 17:53:04,18.6853,12.9164,100.63,16,21,9.66
103,Qaanaaq,GL,2022-08-31 17:51:10,77.484,-69.3632,36.27,64,0,4.23
104,Kulhudhuffushi,MV,2022-08-31 17:53:04,6.6221,73.07,77.76,85,100,23.67
105,Tilichiki,RU,2022-08-31 17:53:05,60.4667,166.1,39.33,81,71,7.02
106,San Vicente,AR,2022-08-31 17:52:07,-26.6167,-54.1333,74.75,29,6,4.59
107,Kathu,TH,2022-08-31 17:53:06,7.9178,98.3332,86.7,99,100,5.95
108,Hay River,CA,2022-08-31 17:53:06,60.8156,-115.7999,62.58,59,75,11.5
109,Farafangana,MG,2022-08-31 17:53:06,-22.8167,47.8333,68.86,80,7,5.75
110,Presidencia Roque Saenz Pena,AR,2022-08-31 17:53:06,-26.7852,-60.4388,90.28,26,0,11.74
111,Severo-Kurilsk,RU,2022-08-31 17:53:07,50.6789,156.125,53.11,78,89,3.94
112,Norman Wells,CA,2022-08-31 17:53:07,65.282,-126.8329,59.04,82,40,4.61
113,Laguna,US,2022-08-31 17:53:08,38.421,-121.4238,92.08,43,0,5.75
114,George,ZA,2022-08-31 17:53:08,-33.963,22.4617,53.15,82,0,10.36
115,Raudeberg,NO,2022-08-31 17:53:08,61.9875,5.1352,59.67,20,46,2.21
116,Sabancuy,MX,2022-08-31 17:53:09,18.9667,-91.1833,86.4,60,98,8.88
117,Caravelas,BR,2022-08-31 17:53:09,-17.7125,-39.2481,69.22,71,69,10.67
118,Provideniya,RU,2022-08-31 17:53:09,64.3833,-173.3,46.99,98,100,6.17
119,Iqaluit,CA,2022-08-31 17:53:10,63.7506,-68.5145,44.33,75,100,15.01
120,Wanning,CN,2022-08-31 17:53:10,18.8003,110.3967,79.12,85,2,2.21
121,Paracuru,BR,2022-08-31 17:53:10,-3.41,-39.0306,85.98,52,5,16.64
122,Sao Joao Da Barra,BR,2022-08-31 17:53:11,-21.6403,-41.0511,73.49,59,66,11.86
123,Havre-Saint-Pierre,CA,2022-08-31 17:53:11,50.2334,-63.5986,70.16,83,100,4.61
124,Singleton,AU,2022-08-31 17:53:11,-32.5667,151.1833,52.99,91,90,1.01
125,Aklavik,CA,2022-08-31 17:53:12,68.2191,-135.0107,60.55,56,6,4.83
126,Kaitangata,NZ,2022-08-31 17:53:12,-46.2817,169.8464,45.46,90,57,4.36
127,Muisne,EC,2022-08-31 17:53:12,0.6,-80.0333,76.77,78,94,12.57
128,Yellowknife,CA,2022-08-31 17:53:13,62.456,-114.3525,55.92,94,75,8.05
129,Baoning,CN,2022-08-31 17:53:13,25.3378,110.026,76.86,73,75,8.95
130,Chihuahua,MX,2022-08-31 17:49:53,28.5,-106.0,69.91,69,43,6.13
131,Baruun-Urt,MN,2022-08-31 17:53:14,46.6806,113.2792,46.96,41,13,6.38
132,Yabrud,SY,2022-08-31 17:53:14,33.9674,36.6574,80.67,25,47,4.83
133,Lorengau,PG,2022-08-31 17:53:14,-2.0226,147.2712,80.71,82,98,9.57
134,Kochinda,IN,2022-08-31 17:53:15,21.7333,84.35,80.06,80,100,3.62
135,Port Hawkesbury,CA,2022-08-31 17:53:15,45.6169,-61.3485,78.82,74,20,15.01
136,Port-Gentil,GA,2022-08-31 17:50:11,-0.7193,8.7815,78.76,83,40,17.27
137,Amapa,BR,2022-08-31 17:57:38,1.0,-52.0,92.64,41,52,3.65
138,Lebu,CL,2022-08-31 17:57:38,-37.6167,-73.65,53.8,78,43,10.0
139,Port Lincoln,AU,2022-08-31 17:57:39,-34.7333,135.8667,51.1,79,90,6.35
140,Tuatapere,NZ,2022-08-31 17:57:39,-46.1333,167.6833,49.59,96,96,1.81
141,Shubarshi,KZ,2022-08-31 17:57:39,48.5872,57.1869,79.74,22,24,9.33
142,Harnosand,SE,2022-08-31 17:57:40,62.6323,17.9379,55.99,56,84,9.69
143,Akdepe,TM,2022-08-31 17:57:40,42.0551,59.3788,82.49,18,0,13.44
144,Butaritari,KI,2022-08-31 17:54:28,3.0707,172.7902,81.68,78,29,21.88
145,Takaka,NZ,2022-08-31 17:57:40,-40.85,172.8,55.56,87,57,5.19
146,Whitehaven,GB,2022-08-31 17:57:41,54.549,-3.5841,64.65,14,65,7.0
147,Nushki,PK,2022-08-31 17:57:41,29.5542,66.0215,85.21,22,0,3.11
148,The Valley,AI,2022-08-31 17:56:59,18.217,-63.0578,89.46,66,20,12.66
149,Puerto Narino,CO,2022-08-31 17:57:41,-3.7703,-70.3831,88.39,51,33,3.13
150,Victoria,HK,2022-08-31 17:57:42,22.2855,114.1577,86.38,85,23,1.01
151,Ilulissat,GL,2022-08-31 17:57:42,69.2167,-51.1,34.99,92,100,7.94
152,San Patricio,US,2022-08-31 17:57:42,28.017,-97.5169,89.85,51,100,9.19
153,Muros,ES,2022-08-31 17:57:43,42.7762,-9.0603,75.69,76,39,2.95
154,Natal,BR,2022-08-31 17:57:43,-5.795,-35.2094,86.22,54,40,19.57
155,Noumea,NC,2022-08-31 17:57:43,-22.2763,166.4572,69.01,99,79,10.22
156,Itoman,JP,2022-08-31 17:57:43,26.1247,127.6694,84.58,84,75,19.57
157,Aykhal,RU,2022-08-31 17:57:44,66.0,111.5,37.58,97,100,3.71
158,Dingle,PH,2022-08-31 17:57:44,10.9995,122.6711,76.28,91,96,4.72
159,Bayonne,FR,2022-08-31 17:55:58,43.3333,-1.4167,76.15,78,20,8.05
160,Sompeta,IN,2022-08-31 17:57:44,18.9333,84.6,83.14,80,30,4.7
161,Carbonia,IT,2022-08-31 17:57:45,39.1672,8.5222,76.01,63,85,3.6
162,Calama,CL,2022-08-31 17:57:45,-22.4667,-68.9333,73.89,5,0,20.71
163,Oistins,BB,2022-08-31 17:57:45,13.0667,-59.5333,87.89,66,40,16.11
164,Bethel,US,2022-08-31 17:57:46,41.3712,-73.414,84.0,50,1,10.0
165,Stara Synyava,UA,2022-08-31 17:57:46,49.6032,27.6191,64.08,54,92,6.26
166,Vargashi,RU,2022-08-31 17:57:46,55.3556,65.8467,67.96,48,83,7.63
167,Torbay,CA,2022-08-31 17:54:33,47.6666,-52.7314,81.37,56,20,14.97
168,Port Shepstone,ZA,2022-08-31 17:57:46,-30.7414,30.455,60.03,61,3,2.82
169,Khatanga,RU,2022-08-31 17:57:47,71.9667,102.5,40.19,90,99,16.31
170,Soe,ID,2022-08-31 17:57:47,-9.8607,124.284,65.5,89,98,4.52
171,Nanortalik,GL,2022-08-31 17:57:47,60.1432,-45.2371,42.26,74,28,13.13
172,Portland,US,2022-08-31 17:55:26,45.5234,-122.6762,82.92,58,24,5.99
173,Husavik,IS,2022-08-31 17:57:48,66.0449,-17.3389,61.63,61,90,24.9
174,Chokurdakh,RU,2022-08-31 17:57:48,70.6333,147.9167,35.49,78,86,7.65
175,Maniitsoq,GL,2022-08-31 17:57:48,65.4167,-52.9,39.25,75,72,5.03
176,Ahuimanu,US,2022-08-31 17:57:49,21.4447,-157.8378,80.78,79,32,1.01
177,Flin Flon,CA,2022-08-31 17:57:49,54.7682,-101.865,66.04,72,20,6.91
178,Necochea,AR,2022-08-31 17:57:49,-38.5473,-58.7368,64.9,56,63,9.78
179,Karratha,AU,2022-08-31 17:57:49,-20.7377,116.8463,70.48,53,1,4.88
180,Nikolskoye,RU,2022-08-31 17:57:50,59.7035,30.7861,47.88,95,100,10.78
181,Aleksandrov Gay,RU,2022-08-31 17:57:50,50.147,48.5704,81.9,21,30,4.85
182,Varnavino,RU,2022-08-31 17:57:50,57.4035,45.0916,61.65,75,62,6.06
183,Gebze,TR,2022-08-31 17:57:51,40.8028,29.4307,76.15,73,75,5.75
184,Bathsheba,BB,2022-08-31 17:58:51,13.2167,-59.5167,88.41,66,40,16.11
185,Port Elizabeth,ZA,2022-08-31 17:54:54,-33.918,25.5701,59.29,72,0,17.27
186,Hasaki,JP,2022-08-31 17:58:51,35.7333,140.8333,77.4,90,20,18.9
187,San Cristobal,VE,2022-08-31 17:58:51,7.7669,-72.225,87.98,42,42,7.52
188,Cradock,ZA,2022-08-31 17:58:52,-32.1642,25.6192,53.35,24,8,2.51
189,Morki,RU,2022-08-31 17:58:52,56.4303,48.9947,66.56,68,48,4.38
190,Perth,AU,2022-08-31 17:54:32,-31.9333,115.8333,56.08,76,0,21.85
191,Mayumba,GA,2022-08-31 17:58:52,-3.432,10.6554,74.8,87,70,10.87
192,Miranda,CO,2022-08-31 17:58:53,3.2499,-76.2281,82.53,59,53,3.85
193,Pevek,RU,2022-08-31 17:58:53,69.7008,170.3133,32.31,89,100,13.49
194,Egvekinot,RU,2022-08-31 17:58:53,66.3167,-179.1667,36.61,89,100,17.34
195,Guerrero Negro,MX,2022-08-31 17:58:54,27.9769,-114.0611,79.32,63,30,8.97
196,Cedral,MX,2022-08-31 17:58:54,23.8,-100.7333,77.13,41,97,11.79
197,Sur,OM,2022-08-31 17:58:54,22.5667,59.5289,85.96,58,4,9.22
198,Verkhnevilyuysk,RU,2022-08-31 17:58:54,63.4453,120.3167,35.02,98,66,3.8
199,Dolores,AR,2022-08-31 17:58:55,-36.3132,-57.6792,67.1,60,55,10.51
200,Mar Del Plata,AR,2022-08-31 17:58:55,-38.0023,-57.5575,64.42,47,0,10.0
201,Codrington,AU,2022-08-31 17:58:07,-38.2667,141.9667,43.39,88,58,9.15
202,Vila Velha,BR,2022-08-31 17:54:34,-20.3297,-40.2925,73.35,75,40,11.5
203,Varnamo,SE,2022-08-31 17:58:56,57.186,14.04,60.06,68,57,5.03
204,Henties Bay,NA,2022-08-31 17:58:56,-22.116,14.2845,57.56,89,6,4.83
205,Okhotsk,RU,2022-08-31 17:58:56,59.3833,143.3,52.57,92,15,7.11
206,Baishishan,CN,2022-08-31 17:58:56,43.5833,127.5667,54.39,98,11,6.6
207,Krasnofarfornyy,RU,2022-08-31 17:58:57,59.1364,31.8502,44.82,94,100,11.79
208,Dodola,ET,2022-08-31 17:58:57,6.9833,39.1833,54.39,89,70,4.47
209,Nadym,RU,2022-08-31 17:58:58,65.5333,72.5167,40.73,76,80,8.7
210,Acarau,BR,2022-08-31 17:58:58,-2.8856,-40.12,87.39,50,5,16.91
211,Savannah Bight,HN,2022-08-31 17:58:58,16.45,-85.85,81.57,70,24,2.19
212,Ogaminana,NG,2022-08-31 17:58:58,7.5946,6.2248,73.18,94,100,9.46
213,Vila Franca Do Campo,PT,2022-08-31 17:58:59,37.7167,-25.4333,75.61,74,88,2.44
214,Dudinka,RU,2022-08-31 17:58:59,69.4058,86.1778,38.62,88,28,7.87
